Sweet Magnolias,2020,16,7.4,6.9,1,0,0,0
Medici: Masters of Florence,2016,7,7.9,6.9,1,0,0,0
Aggretsuko,2018,16,8.1,6.9,1,0,0,0
Jurassic World: Camp Cretaceous,2020,7,7.5,6.9,1,0,0,0
Rake,2010,16,8.5,6.9,1,1,1,0
The Gift,2019,18,7.2,6.9,1,1,0,0
Violet Evergarden,2018,16,8.5,6.9,1,0,0,0
3Below: Tales of Arcadia,2018,7,7.7,6.9,1,0,0,0
Jeffrey Epstein: Filthy Rich,2020,18,7.1,6.9,1,0,0,0
Dawson's Creek,1998,7,6.6,6.9,1,1,0,0
Private Practice,2007,16,6.7,6.9,1,1,0,0
Beauty and the Beast,2012,7,7,6.9,1,0,0,1
Daybreak,2019,18,6.7,6.9,1,0,0,0
Easy,2016,18,6.9,6.9,1,0,0,0
Behind Her Eyes,2021,18,7.2,6.8,1,0,0,0
Collateral,2018,18,6.8,6.8,1,0,0,0
Knightfall,2017,16,6.8,6.8,1,0,0,0
The Confession Killer,2019,16,7.4,6.8,1,0,0,0
Sophie: A Murder In West Cork,2021,18,6.9,6.8,1,0,0,0
Call My Agent!,2015,16,8.3,6.8,1,0,0,0
My Little Pony: Friendship Is Magic,2010,7,7.6,6.8,1,1,0,0
Leah Remini: Scientology and the Aftermath,2016,16,9,6.8,1,1,0,0
Containment,2016,16,7.2,6.8,1,0,0,0
Z Nation,2014,16,6.7,6.8,1,0,0,0
Emily in Paris,2020,18,7,6.8,1,0,0,0
Victorious,2010,7,6.9,6.8,1,0,0,0
Scream: The TV Series,2015,16,7.1,6.8,1,0,0,0
Akame ga Kill!,2014,18,7.8,6.8,1,1,0,0
Warrior Nun,2020,18,6.9,6.8,1,0,0,0
Bad Blood,2017,18,7.5,6.8,1,0,0,0
Young & Hungry,2014,16,7.4,6.8,1,0,0,0
Caliphate,2020,18,8.2,6.8,1,0,0,0
Good Witch,2015,7,7.3,6.8,1,0,0,0
Gilmore Girls: A Year in the Life,2016,16,7.6,6.8,1,0,0,0
